430,syr. 434,syr. 611,syr. 612
ܗܢܘܢܕܒܥܝܢܕܢܡܚܘܢܩܪܒܐܕܫܘܐܠܫܝܛܘܬܐ,,ܓܒܪܐܕܥܬܝܕܠܩܪܒܐ܂ܡܛܠ,ܓܒܪܐܕܥܬܝܕܠܩܪܒܐ܂ܡܛܠ
,,ܕܐܝܙܓ̈ܕܐ,ܕܐܝܙܓܕ̈ܐ
,,ܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢܡܢܐܚܝܠܐܐܝܬܠܝ܂ܘܕܐܝܟܐܝܟܐܐܢܘܢ,ܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢܡܢܐܚܝܠܐܐܝܬܠܝ܂ܘܕܐܝܟܐܝܟܐܐܢܘܢ
,,ܚܝܠܘܬ̈ܝ܂,ܚܝܠܘܬܝ܀
,,ܟܕܝܗ̄ܒܢܕܢܒܪܝܠܡܠܟܐܐܓܪܬܐܚܕܐܡܢܗܝܢܐܝܟܗܘ,ܟܕܝܗ̄ܒܢܕܢܒܪܝܠܡܠܟܐܐܓܪܬܐܚܕܐܡܢܗܝܢܐܝܟܗܘ
,,ܕܡܫܟܚܘܗܐܫܟܚܗ̇܂,ܕܡܫܟܚܘܐܫ̱ܟܚܗ̇܂
,,ܘܢܣܒܗܘܩܪܐܩܕܡ,ܘܢܣܒܗܘܩܪܐܩܕܡ
,,ܡܪܝܡܠܟܐ,ܡܠܟܐܡܪܝ
,,ܣܪܚܕܘܡ܂ܘܟܕܫܡܥܣܓܝܪܓܙ,ܣܪܚܕܘܡ܂ܘܟܕܫܡܥܣܓܝܪܓܙ
ܥܠ,,ܥܠ,ܥܠ
ܕܐܫܝܚ,,ܐܚܝܩܪܣܦܪܐܘܗܟܢܐܐܡܪ܂ܐܘܢܐܠܗܐܡܢܐܚܛܝܬܠܗܠܐܚܝܩܪ܂ܕܗܟܢܐܨܒܐܕܢܥܒܕܠܝ܂,ܐܚܝܩܪܣܦܪܐܘܗܟܢܐܐܡܪ܂ܐܘܢܐܠܗܐܡܢܐܚܛܝܬܠܗܠܐܚܝܩܪ܂ܕܗܟܢܐܨܒܐܕܢܥܒܕܠܝ܂
,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
,,ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐܬܪܓܙ,ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐܬܪܓܙ
,,ܘܬܬܟܡܪ,ܘܬܬܟܡܪ܂
,,ܡܪܝܡܠܟܐ܂ܢܐܙܠܗܫܐܢܦܘܩܠܦܩܥܬ,ܡܪܝܡܠܟܐ܂ܢܐܙܠܗܫܐܢܦܘܩܠܦܩܥܬ
,,ܢܫܪܝܢ,ܢܫܪ̈ܝܢ
,,ܐܝܟܕܟܬܝܒܒܗܕܐܐܓܪܬܐ܂ܘܕܡܢܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕܐܢ̄ܬܢܗܘܐ܂ܟܕܕܝܢܦܩܕܡܠܟܐܕܢܬܛܝܒܘܢܕܢܣܩܘܢܠܦܩܥܬܐܕܢܚܙܘܢܫܪܪܐܕܝܠܗܕܣܘܥܪܢܐ܂,ܐܝܟܕܟܬܝܒܒܗܕܐܐܓܪܬܐ܂ܘܕܡܢܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕܐܢ̄ܬܢܗܘܐ܂ܟܕܕܝܢܦܩܕܡܠܟܐܕܢܬܛܝܒܘܢܕܢܣܩܘܢܠܦܩܥܬܐܕܢܚܙܘܢܫܪܪܐܕܝܠܗܕܣܘܥܪܢܐ܂
,,ܗܝ̇ܕܝܢ,ܗܝܕܝܢ
,,ܩܡܢܕܢܒܪܝܥܡܡܪܝܡܠܟܐܣܪܚܕܘܡܘܐܬܘ,ܩܡܢܕܢܒܪܝܥܡܡܪܝܡܠܟܐܣܪܚܕܘܡܘܐܬܘ
,,ܘܐܫܟܚܘܢܢܝ,ܘܐܫ̱ܟܚܘܢܢܝ
,,ܘܠܚܝܠܐܕܥܡܝܒܦܩܥܬ,ܘܠܚܝܠܐܕܥܡܝܒܦܩܥܬ
,,ܢܫܪ̈ܝܢ܂,ܢܫܪܝܢ܂
,,ܘܟܕܚܙܝܬܗܕܐܬܐ,ܘܟܕܚܙܝܬܗܕܐܬܐ
,,ܠܘܩܒܠܝ܂,ܠܘܩܒܠ܂
,,ܣܕܪܬܠܩܘܒܠܗܚܝܠܐܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐܗܝܕܫܕܪܠܝܢܕܢܒܪܝ܂ܗܝܕܝܢܟܕܡܠܟܐܚܙܐܡܢܝܗܟ̣ܢ,ܣܕܪܬܠܩܘܒܠܗܚܝܠܐܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐܗܝܕܫܕܪܠܝܢܕܢܒܪܝ܂ܗܝܕܝܢܟܕܡܠܟܐܚܙܐܡܢܝܗܟ̣ܢ
,,ܐܬܟ̇ܡܪܘ,ܐܬܟܡܪ
