162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
ܕܡܬܡܠܝܐܥܦܪܐ܂ܒܪܝܐܢ,,ܪܝܡܥܝ̈ܢܝܟunclearܘܡܨܒܬܐ܇ܠ[܂]ܬܪܓܝ[܂]unclearܟܠܡܕܡܕ[܂܂]ܬunclear,,,,,,
ܬܪܝܡ,ܬܪܝܡ,,,ܬܪܝܡ,,,ܬܪܝܡ,ܬܪܝܡ
ܥܝܢ̈ܝܟ,ܥܝ̈ܢܝܟ,,,ܥܝܢܟ,,,ܥܝܢܝܟ̈ܘܬܚܙܗ,ܥܝܢܟ
ܘܬܚܙܐ,ܘܬܚܙܐ,,,ܘܬܚܙܐ,,,,ܘܬܚܙܐ
ܐܢܬܬܐ,ܐܢܬܬܐ,,ܐܢܬܬܐ,ܐܢَܬܬܐ,,,,ـ
ܕܣܩܝܠܐ,ܕܣܩܝܠܐ,,ܙܠܝܠܬܐ,,,ܙܠܝܠܬܐ,ܐܢ̄ܬܬܐ,ܐܢ̄ܬܬܐ
ܘܡܨܒܬܐ܂,ܘܟܚܝܠܐ܉,,ܒܡܠ̈ܝܗ܂,ܕܣܪܝܩܐ,,ܒܡ̈ܠܝܗ܂,ܕܣܪܝܩܐ,ܕܣܪܝܩܐ
,,,ܡܛܠܕܡܢܡ̈ܠܝܗ,ܘܟܚܝܠܐ,,ܡܛܠܕܡܢܡ̈ܠܝܗ,ܘܟܚܠܐ,ܘܒܚܝܠܐ܂
,,,ܢܒ̈ܥܢܡܪܕܐܘܣܡܐܕܡܘܬܐ܂,,,ܢܒ̈ܥܝܢܣܡܐܘܡܘܬܐ܂,,
,,,ܘܒܡܨܝܕܬܐ,,,ܘܒܡܨܝܕܬܐ,,
,,,ܬܬܦܪܟܠ,,,ܬܬܦܪܟܠ܂,,
,,,ܘܒܦܚܐܬܬܨܝܕ܀,,,ܘܒܦܚܐܬܬܨܝܕ܀,,
,,,٧܆,,,,,
,,,ܒܪܝܐܢܚܙܐ,,,ܒܪܝܐܢܚܙܐ,,
,,,ܐܢܬ,,,,,
,,,ܐܢܬܬܐ,,,ܐܢܬܬܐ,,
,,,ܕܡܨܒܬܐ܆ܘܒܡܫܚܐܡܕܗܢܐ܇ܘܒܗܪ̈ܘܡܐܡܥܛܪܐ܆ܘܡܙܠܠܐܒܢܦܫܗ܆,,,ܕܡܨܒܬܐܘܒܡ̈ܫܚܢܐܡܕܗܢܐ܂ܘܒܗܪܘܡܐܡܥܛܪܐܘܡܙܠܠܒܢܦܫܗ܂,,
ܠܐ,ܠܐ,,ܠܐ,ܠܐ,,ܠܐ,ܠܐ,ܠܐ
ܬܐܪܓܝܗ,ܬܪܓܝܗ,,ܬܪܓܝܗ,ܬܪܓܝܗ,,ܬܐܪܓܝܗ,ܬܪܓܝܗ,ܬܪܓܝܗ
ܒܠܒܟ܂,ܒܠܒܟ܂,,ܒܠܒܟ܂,ܒܠܒܟ܆,,ܒܠܒܟ܂,ܒܠܒܟ,ܒܠܒܟ
,,,,,,,,܂
ܡܛܠܕܐܢܬܬܠܠܗ,ܡܛܠܕܐܢܬܬܠܠܗ,,ܡܛܠܕܐܢܬܬܠܠܗ,ܡܛܠܕܐܢܬܬܠܠܗ,,ܡܛܠܕܐܢܬܬܠܠܗ,ܡܛܠܕܐܢܬܬܠܠܗ,ܡܛܠܕܐܢܬܬܠܠܗ
ܟܠ,ܟܠܡܕܡ,,ܢܦܫܟ܆,,,ܢܦܫܟ܂,ܘܟܠ,ܟܠ
ܕܒܐܝܕ̈ܝܟ܂,,,,ܡܕܡ,,,ܡܕܡ,ܡܕܡ
,ܕܐܝܬ,,,ܕܐܝܬ,,,ܕܐܝܬ,ܕܐܝܬ
,ܒܐܝ̈ܕܝܟ,,,ܠܟ,,,ܒܐܝܕܝܟ,ܠܟ
,,,,ܒܐܝܕܝ̈ܟ,,,,ܒܐܝܕ̈ܝܟ܂
ܡܕܡ,ܡܕܡ,,ܡܕܡ,ܡܕܡ,,ܡܕܡ,ܡܕܡ,ܡܕܡ
ܝܬܝܪܐ,ܝܘܬܪܢܐ,ܝܬܝܪܐ,ܝܬܝܪܐ,ܝܘܬܪܢܐ,,ܫܪܝܪܐ,ܝܘܬܪܢܐ,ܝܘܬܪܢܐ
ܠܐܬܫܟܚ,,,ܐܘܕܫܦܝܪ,,,ܐܘܕܫܦܝܪ,,
ܒܗ,ܒܗ,ܒܗ,ܒܗ,ܒܗ,,ܒܗ,ܒܗ,ܒܗ
ܘܚܛܝܬܐ,ܠܐ,ܠܐ,ܠܐ,ܠܐ,,ܠܐ,ܠܐ,ܠܐ
,ܡܫܟܚ,ܬܫܟܚ܂[܂]ܚܛ[܂܂][܂܂܂]ܗܐܬܚܘܒ܂܂,ܡܫܟܚ,ܡܫܟܚ,,ܡܫܟܚ,ܡܫܟܚ,ܡܫܟܚ
ܠܐܠܗܐܬܚܘܒ܀,,,,,,,,
,ܐܢܬ܂,,ܐܢܬ܆,ܐܢَܬ܆,,ܐܢܬ܂,ܐܢ̄ܬ,ܐܢ̄ܬ܂
ܒܪܝ,,ܒܪܝ,,,,,,
ܒܝܬܐܐܝܠܝܢ,ܘܚܛܗܐ,ܒܒܝܬܐܕܐܝܠܝܢ,ܘܚܛܗܐ,ܘܚܛܗܐ,,ܐܠܐܐܢܚܛܗܐܒܠܚܘܕ,ܘܚܛܗܐ,ܘܚܛܗܐ
,ܠܐܠܗܐ,,,ܠܐܠܗܐ,,,ܠܐܠܗܐ,ܠܐܠܗܐ
ܕܢܨܝܢܠܐܬܩܘܡܡܛܠܕܡܢܡܠܬܐܗܘܝܐܡܨܘܬܐ܂,,ܕܢܨܝܢܠܐܬܩܘܡܡܛܠܕܡܢܡܠܬܐܗܘܝܐܡܨܘܬܐ܂,ܡܩܒܠ,,,ܡܩܒܠ,,
,ܬܚܘܒ܀,,,,,,,
ܡܨܘܬܐܡܓܪܓܐ,,ܘܡܢܡܨܘܬܐܡܬܬܥܝܪ,ܐܢܬ,ܠܐܬܚܘܒ܆,,ܐܢܬ܂,ܬܚܘܒ܂܂ܒܪܝܠܐܬܓܥܘܪܚܒܪܟ܂܂,ܬܚܘܒ܂
,ܒܪܝ,,,ܒܪܝ,,,,ܒܪܝ
ܫܚܩܐ܂ܘܡܢܫܚܩܐܗܘܐ,,ܫܚܩܐ܂ܘܡܢܫܚܩܐܗܘܐ,ܘܠܐܠܗܐܡܪܓܙܐܢܬ܀,,,ܘܠܐܠܗܐܡܪܓܙܐܢܬ܀,,
ܡܘܬܐܐܘܟܝܬܩܛܠܐ܀,ܠܐ,ܩܛܠܐ܂܂,܂܂܂܂,ܠܐ,,,,ܠܐ
ܒܪܝܐܠܘ,ܬܓܘܪ,ܒܪܝܐܠܘ,,ܬܓܘܦܒܐܢَܬܬܐܚܒܪܟ܆,,,,ܬܓܘܪ
,ܒܐܢܬܬܚܒܪܟ܂,,,,,,,ܒܐܢ̄ܬܬܚܒܪܟ܆
,ܕܕܠܡܐ,,,ܕܠܡܐ,,,ܕܕܠܡܐ,ܕܠܡܐ
,ܢܓܘܪܘܢ,,,ܢܓܘܪܘܢ,,,ܢܓܘܪܘܢ,ܢܓܘܪܘܢ
,ܐ̄ܚܪ̈ܢܐܒܐܢܬܬܟ܀,,,ܐَܚܪ̈ܢܐܒܐܢَܬܬܟ܆,,,ܐܚܪ̈ܢܐ,ܐܚܪ̈ܢܐ
,,,,,,,ܒܐܢ̄ܬܬܟ܂܂,ܒܐܢ̄ܬܬܟ܂
,ܒܪܝ,,,ܒܪܝ,,ܒܪܝ,ܒܪܝ,ܒܪܝ
,ܠܐ,,ܠܐ,ܠܐ,,ܠܐ,ܠܐ,ܠܐ
,ܬܗܘܐ,,,ܬܗܘܐ,,ܬܗܘܐ,ܬܗܘܐ,ܬܗܘܐ
,ܡܣܪܗܒܐ,,,ܡܣܪܗܒܐ,,ܙܠܝܠ,ܡܣܪܗܒܐ,ܡܣܪܗܒܐ
,ܐܝܟ,,ܐܝܟ,ܐܝܟ,,ܐܝܟ,unclear,ܐܝܟ
,ܠܘܙܐ,,ܠܘܙܐ,ܕܠܘܙܐܠܘܩܕܡ,,ܠܘܙܐ,ܠܘܙܐ,ܕܠܘܙܐܠܘܩܕܡ
,ܕܠܘܩܕܡ,,,ܥܦܐ܆ܘܠܐَܚܪܬܐ,,ܕܠܘܩܕܡ,ܕܠܘܩܕܡ,
,ܥܦܐ܂,,,,,ܡܦܪܥ,ܐܥܦܐ܂܂,ܥܦܐ܂
,ܘܠܚܪܬܐ,,,,,ܘܠܚܪܬܐ,ܘܠܚܪܬܐ,ܘܠܚܪܬܐ
,ܐܒܗ,,,ܐܒܗ,,ܐܒܗ,ܐܒܗ,ܐܒܗ
,ܡܬܐ̱ܟܠ܂,,,ܡܬܐܟܠ,,ܡܬܐܟܠ܂,ܡܐܬ̱ܟܠ,ܡܬܐܟܠ܂
,ܐܠܐ,,ܐܠܐ,ܐܠܐ,,ܐܠܐ,ܐܠܐ,ܐܠܐ
,ܗܘܝ,,,ܗܘܝ܂,,ܗܘܝ,ܗܘܝ,ܗܘܝ
,ܫܘܐ,,,ܫܘܐ,,ܣܡܚܘܚܟܝܡ,ܫܘܐ,ܫܘܐ
,ܘܛܥܡܢ,,,ܘܛܥܡܢ,,,ܘܛܥܡܢ,ܘܛܠܡܟܐܝܟ܂
,ܐܝܟ,,ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ,
,ܬܘܬܐ܂,,ܬܘܬܐ܂܂܂٨܆,ܬܘܬܐ,,ܬܘܬܐ܂,ܬܘܬܐ܂܂,ܬܘܬܐ
,ܕܠܚܪܬܐ,,,ܕܠܚܪܬܐ,,ܕܒܚܪܬܐܡܦܪܥ܆ܘܒܩܕܡܐ,ܕܠܚܪܬܐ,ܕܠܚܪܬܐ
,ܥܦܐ܂,,,ܥܦܐ܆,,,ܐܥܦܐ܂܂,ܥܦܐ܂
