430,syr_422,syr_434,syr_611,syr_612
ܩܘܡ,ܩܘܡ,,ܩܘܡ,ܩܘܡ
ܕܒܪ,ܣܒ,,ܣܒ,ܣܒ
ܐܚܝܩܪܘܙܠ,ܐܚܝܩܪܘܙܠ,,ܐܚܝܩܪܘܙܠ,ܐܚܝܩܪܘܙܠ
ܩܛܘܠܝܗܝ܂,ܩܛܘܠܝܗܝ,,ܩܛܘܠܝܗܝ܂,ܩܛܘܠܝܗܝ܂
ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,,ܘܐܪܚܩܪܫܗܡܢܫܠܕܗܡܐܐ,ܘܐܪܚܩܪܫܗܡܢܫܠܕܗܡܐܐ
ܐܡܝ̈ܢ܂,ܐܡܝ̈ܢ܂,,ܐܡܝ̈ܢ܂,ܐܡܝܢ܂
ܗܝܕܝܢ,ܗܝܕܝܢ,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
ܐܢܐܐܚܝܩܪ,ܐܢܐܐܚܝܩܪ,,,
ܩܒܠܬܐܪܥܐܩܕܡܡܠܟܐ,ܣܓܕܬܠܡܠܟܐ,,ܣܓܕܬܠܡܠܟܐ,ܣܓܕܬܠܡܠܟܐ
,,,ܐܢܐܐܚܝܩܪ,ܐܢܐܐܚܝܩܪ
ܘܐܡܪܬ,ܘܐܡܪܬ,,ܘܐܡܪܬ,ܘܐܡܪܬ
,ܠܗ܂,,ܠܗ܂,ܠܗ܂
ܬܚܐ,ܬܚܐ,,ܬܚܐܡܪܝܡܠܟܐܠܥܠܡܕܨܒܝܬ,ܬܚܐܡܪܝܡܠܟܐܠܥܠܡܕܨܒܝܬ
,,,ܩܛܠܝ,ܩܛܠܝ܇
,,,ܢܗܘܐܦܘܩܕܢܟ܂ܡܛܠܕܠܝܬܠܝܣܘܪܚܢܐܐܝܟ,ܢܗܘܐܦܘܩܕܢܟ܂ܡܛܠܕܠܝܬܠܝܣܘܪܚܢܐܐܝܟ
,,,ܕܝܕܥܢܐ܂ܒܪܡܡܦܝܣܢܐܡ̣ܢ,ܕܝܕܥܐ̄ܢܐ܂ܒܪܡܡܦܝܣܢܐܡܢ
ܡܪܝ,,,ܡܪܝ,ܡܪܝ
ܡܠܟܐ,ܡܠܟܐ,,ܡܠܟܐ,ܡܠܟܐ
,ܬܚܐ,,ܕܒܬܪܥܒܝܬܝ,ܕܒܬܪܥܒܝܬܝ
ܠܥܠܡ܂,ܠܥܠܡ܂,,,
ܡܟܝܠܕܦܩܕܬܒܩܛܠܝ܂ܘܬܗܘܐܢܦ̮ܫܝܚܠܦܚܝܝ̈ܟܡܘܗܒܬܐ܂ܒܪܡܚܕܐ,ܕܓܒܝܬܩܛܠܝ,,,
,ܢܗܘܐ,,ܢܗܘܐ,ܢܗܘܐ
,ܨܒܝܢܟ܂ܐܢܐܓܝܪ,,ܩܛܠܝ܂ܘܐܦ,ܩܛܠܝ܂ܘܐܦ
ܝܕܥܢܐ,ܝܕܥܢܐ,,,
ܕܠܝܬܠܝܚܛܝܬܐܘܠܐܣܘܪܚܢܐܡܕܡ܂ܐܠܐܚܕܐܫܐܠܢܐܡܢܟ,ܕܣܘܪܚܢܐܠܝ܂ܒܪܡܡܦܝܣܢܐܡ̣ܢ,,,
ܡܪܝܡܠܟܐ,ܡܪܝܡܠܟܐ,,,
ܕܒܬܪܥܐ,ܒܬܪܥܐ,,,
ܕܒܝܬܝ,ܕܒܝܬܝ,,,
ܬܦܩܘܕܕܢܩܛܠܢܝ,ܕܐܬܩܛܠ,,,
ܘܢܬܝܗܒ,ܘܢܬܝܗܒ,,,
ܦܓܪܝ,ܦܓܪܝ,,ܦܓܪܝ,ܦܓܪܝ
ܠܥܒ̈ܕܝܕܢܩܒܪܘܢܗ܂,,,ܢܬܝܗܒ,ܢܬܝܗܒ
,ܠܥܒܕܝ̈,,ܠܥܒܕ̈ܝ,ܠܥܒܕܝ̈
,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܕܢܩܒܪܘܢܢܝܕܢܗܘܐܦܘܪܩܢܟ܂,,ܕܢܩܒܪܘܢܢܝ܂,ܕܢܩܒܪܘܢܢܝ܂
ܗܝܕܝܢ,,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
ܐܡܪ,ܐܡܪ,,ܐܡܪ,ܐܡܪ
,ܕܝܢ,,,
ܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ,ܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ,,ܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ,ܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ
ܘܛܘܠܝܗܩܕܡܬܪܥܐܕܒܝܬܗܘܗܒ݂ܦܓ݂ܪܗܠܐ̄ܢܫܘ̈ܗܝܕܢܩܒܪܘܢܗ܂,ܩܛܘܠܝܗܝܠܐܚܝܩܪܒܬܪܥܒܝܬܗ܂ܘܗܒܦܓܪܗܕܢܩܒܪܘܢܝܗܝ܂ܘܐܢܐܗܟܝܠܡ̣ܢܒܬܪܕܢܦܩܬ,,ܐܟܡܐܕܐܡܪܐܚܝܩܪܥܒܕܩܠܝܠܐܝܬ܂,ܐܟܡܐܕܐܡܪܐܚܝܩܪܥܒܕܩܠܝܠܐܝܬ܂
ܒܬܪ,,,ܒܬܪܟܢ,ܒܬܪ
ܗܕܐܐܢܐܐܚܝܩܪܟܕܢܦܩܬ,,,,ܟܢ
,,,ܢܦܩܢܢ,ܢܦܩܢܢ
ܡ̣ܢܩܕܡܡܠܟܐ,ܡ̣ܢܩܕܡܡܠܟܐ,,ܡ̣ܢܩܕܡܡܠܟܐ,ܡ̣ܢܩܕܡܡܠܟܐ
ܫܕܪܬܠܘܬܫܘܬܦܬܝܘܦܩܕܬ,ܫܠܚܬܠܒܪܬܙܘܓܝܘܐܡܪܬܠܗ,,ܟܠܢ܂ܘܫܠܚܬ,ܟܠܢ܂ܘܫܠܚܬ
,,,ܠܐܢ̄ܬ݁ܬܝ,ܠܐܢ̄ܬܬܝ
,,,ܐܫܦܓܢܐܐܝܟܢܐ,ܐܫܦܓܢܐܐܝܟܢܐ
ܕܬܦܘܩܠܐܘܪܥܝ,ܕܬܦܘܩܠܐܘܪܥܝ,,ܕܬܦܘܩܠܐܘܪܥܝ,ܕܬܦܘܩܠܐܘܪܥܝ
ܟܕܐܝܬ,ܘܬܦܩ,,ܥܡ,ܥܡ
ܥܡܗ,ܥܡܗ,,,
ܐܠܦ,ܐܠܦ,,ܐܠܦ,ܐܠܦ
ܒܢܬ̈ܐܒܬ̈ܘܠܬܐ܂ܘܠܒ̈ܝܫܢܙܚܘܪ̈ܝܬܐܘܐܪ̈ܓܘܢܐ܂ܕܢܪ̈ܩܕܢ,ܒ̈ܢܬܐܥܠܝܡ̈ܬܐܘܬܠܒܫܐܢܝܢܠܒܘܫܝ̈܂ܬܟܠ̱ܬܐܘܐܪܓܘܢܐܐܝܟܢܐܕܢܒܟܘܢܒܩܛܠܝܘܫܝܠܠܘܢ,,ܥܠܝܡ̈ܬܐ܂,ܥܠܝܡ̈ܬܐ܂
,,,ܒܠܒܘܫ̈ܐ,ܒܠܒܘ̈ܫܐ
,,,ܪ̈ܓܝܓܐ,ܪ̈ܓܝܓܐ
,,,ܘܗܕܝܪ̈ܐ܂,ܘܗܕܝܪ̈ܐ܇
,,,ܐܝܟ,ܐܝܟ
,,,ܕܢܝܠܠܘܢ,ܕܢܝܠ̱ܠܘܢ
,,,ܘܢܒܟܘܢ,ܘܢܒܟܘܢ
ܥܠܝܩܕܡ,ܥܠܝܩܕܡ,,ܥܠܝܩܕܡ,ܥܠܝܩܕܡ
ܡܘܬܐ܂ܘܐܢ̄ܬܘ̄ܐܫܘܬܦܬܝܐܫܦܓܢܐ,ܡܘܬܝ܂ܘܐܢ̄ܬܝܒܪܬܝܙܘܓܝ,,ܕܐܡܘܬ܂ܘܠܒܪܬܙܘܓܝܥܗܝܕܬܐܕܬܗܦܘܟܠܒܝܬܐܘܬܛܝܒܝܡܐܟܠܐܘܡܫܬܝܐܥܠܦܬܘܪ̈ܐܕܙܢܝ̈ܢܙܢܝ̈ܢ܂ܘܬܣܝܡܝܠܟܠܗܘܢ,ܕܐܡܘܬ܂ܘܠܒܪܬܙܘܓܝܥܗܝܕܬܐܕܬܗܦܘܟܠܒܝܬܐܘܬܛܝܒܝܡܐܟܠܐܘܡܫܬܝܐܥܠܦܬܘܪ̈ܐܕܙܢܝ̈ܢܙܢܝ̈ܢ܂ܘܬܣܝܡܝܠܟܠܗܘܢ
ܗܦܘܟܝ,ܗܦܘܟܝ,,ܡܫܡܫ̈ܢܐ,ܡܫܡܫܢ̈ܐ
ܠܒܝܬܐܘܛܝܒܝ,ܠܒܝܬܝܘܣܝܡܝܩܕܡܐܣܦܘܩܠܛܪܐܘܐܣܛܪ̈ܛܝܘܛܘܗ̈ܝ,,ܕܡܠܟܐܘܐܣܦܘܩܠܛܪܐ,ܕܡܠܟܐܘܐܣܦܘܩܠܛܪܐ
ܦܬܘܪܐ,ܦܬܘܪܐ,,,
,,,ܚܡܪܐ,ܚܡܪܐ
ܠܐܣܦܘܩܠܛܪܐܘܐܝܠܝܢܕܥܡܗ܂ܘܣܝܡ,ܕܢܐܟܠܘܢܘܢܫܬܘܢܘܡܙܘܓܝ,,ܛܒܐܘܥܬܝܩܐ,ܛܒܐܘܥܬܝܩܐ
ܠܗܘܢ,ܠܗܘܢ,,ܒܐܝܕ̈ܝܗ܂,ܒܐܝܕܝ̈ܗ܂
,ܚܡܪܐ,,,
ܫܟܪܐܘܚܡܪ̈ܢܐܣܘܓܐܐܘܫܡܫܝܐܢܘܢ܂ܘܐܝܟܕܐܡܪܬܥܒܕܬܒܕܚܟܝܡܬܐܗ̄ܘܬܣܓܝ܂,,,ܗܝܕܝܢܐܫܦܓܢܐܐܢ̄ܬܬܝܡܪܬ,ܗܝܕܝܢܐܫܦܓܢܐܐܢ̄ܬܬܝܡܪܬ
,ܗܢܝܐܐ܂ܘܗܘܝܬܝܡܫܡܫܐܠܗܘܢܘܐܫܦܓܢܐܓܝܪܒܪܬܝܙܘܓܝܐܢ̄ܬ݁ܬܐܗ̄ܘ̣ܬܣܟܘܠܬܢܝܬܐܘܡܪܬ,,,
,,,ܝܕܥܬܐ,ܝܕܥܬܐ
,ܝܕܥܬܐ,,,
,,,ܪܒܬܐ,ܪܒܬܐ
,ܪܒܬܐ܂ܘܥܒܕܬܐܝܟܕܦܩܕܬܗ̇ܘܛܝܒܬ̤ܕܝܢܦܬܘܪܐܩܕܡܝܗܘܢ܂ܘܡܙܓܬܠܗܘܢܢܒܝܕܐ܂ܘܐܟܠܘܘܐܫܬܝܘܘܗܝ̤ܕܝܢܡܫܡܫܐܗ̄ܘ̣ܬ,,ܘܣܟܘܠܬܢܝܬܐ܂,ܘܣܟܘܠܬܢܝܬܐ܇
,,,ܥܒܕܬܐܟܡܐ,ܥܒܕܬܐܟܡܐ
,,,ܕܦܩܕܬܗ̇܂,ܕܦܩܕܬܗ܂
ܘܟܕܐܟܠܘܘܐܫܬܝܘ,,,ܘܟܕܐܟܠܘܘܐܫܬܝܘ,ܘܟܕܐܟܠܘܘܐܫܬܝܘ
ܘܪܘܝܘ܂ܘܗܝܡܫܡܫܐ,,,,
ܠܗܘܢ܂,ܠܗܘܢ܂,,,
ܘܕܡܟܘܟܠܢܫܒܕܘܟܬܗ܂,ܘܪܘܝܘ,,,ܘܪܘܝܘ
,ܘܫܟܒܘܒܕܘܟܝܬܗ̈ܘܢ,,ܫܟܒܘ,ܫܟܒܘ
,,,ܒܕܘܟܝ̈ܬܗܘܢ܂ܗ̇ܝܕܝܢ,ܒܕܘܟܝܬܗܘܢ܂
ܗܝܕܝܢ,ܗܝܕܝܢ,,,ܗܝܕܝܢ
ܐܢܐ,ܐܢܐ,,ܐܢܐ,ܐܢܐ
,ܐܚܝܩܪ,,ܐܚܝܩܪ,ܐܚܝܩܪ
ܐܡܪܬ,ܐܡܪܬ,,ܐܡܪܬ,ܐܡܪܬ
,ܠܐܣܦܘ܏ܩ܆,,ܠܐܣܦܘܩܠܛܪܐ,
ܠܐܣܦܘܩܠܛܪܐ,ܠܐܣܦܘܩܠܛܪܐ,,,ܠܐܣܦܘܩܠܛܪܐ
ܐܪܝܡ,ܬܠܝ,,ܬܠܝ,ܬܠܝ
ܚܝܪܟ,ܚܝܪܟ,,ܚܝܪܟ,ܚܝܪܟ
ܠܥܠܘܐܬܕܟܪ,ܠܘܬܐܠܗܐ,,ܠܘܬܐܠܗܐ,ܠܘܬܐܠܗܐ
,ܘܥܗܕ,,ܒܪܘܝܐ,ܒܪܘܝܐ
,,,ܕܫܡܝܐ܂,ܕܫܡܝܐܘܕܐܪܥܐ܂
,,,ܘܥܗܘܕ,ܘܥܗܘܕ
ܠܚܡܐ,ܠܚܡܐܘܡܝ̈ܐ,,ܠܚܡܐܘܡܝ̈ܐ,ܠܚܡܐ
ܕܐܟܠܢܢ,ܕܐܟܠܢܢ,,ܕܐܟܠܢܢ,ܕܐܟܠܢܢ
ܥܡܚܕܕ̈ܐ܂ܘܕܥܕܠܝܬܠܝܚܛܝܬܐܡܕܡ܆ܐܠܐܢܐܕܢܢܟܠܢܝ܂ܘܐܢ̄ܬ,ܫܘܝܐܝܬ܂,,ܫܘܝܐܝܬ܂,ܫܘܝܐܝܬ܂
,ܘܝܕܥܢܐ,,ܘܝܕܥܢܐ,ܘܝܕܥܐ̄ܢܐ
,ܓܝܪܕܣܘܪܚܢܐܘܚܛܝܬܐܠܝܬܠܝ܂ܘܢܕܢܐܨܛܢܥܥܠܝܘܫܕܠܢܝ܂,,ܓܝܪܕܣܘܪܚܢܐܘܚܛܝܬܐܠܝܬܠܝ܂ܘܢܕܢܐܨܛܢܥܥܠܝܘܫܕܠܢܝ܂,ܓܝܪܕܣܘܪܚܢܐܘܚܛܝܬܐܠܝܬܠܝ܂ܘܢܕܢܐܨܛܢܥܥܠܝܘܫܕܠܢܝ܂
,ܘܠܐ,,ܐܢ̄ܬܕܝܢ,ܐܢ̄ܬܕܝܢ
ܠܐ,,,ܠܐ,ܠܐ
ܬܥܘܠ,ܬܥܘܠ,,ܬܥܘܠ,ܬܥܘܠ
ܒܗܕܐܚܛܝܬܐ,ܒܚܛܝܬܝ܂,,ܒܚܛܝܬܐܕܝܠܗ,ܒܚܛܝܬܐܕܝܠܗ
ܘܬܩܛܠܢܝ,ܘܬܩܛܠܢܝ,,ܘܬܩܛܠܢܝ,ܘܬܩܛܠܢܝ
ܕܛܠܝܡܐ̄ܢܐ܆,ܘܐܢܐܛܠܝܡܗ̄ܘܝܬܐܬܕܟܪ,,ܛܠܝܡܐܝܬ܂ܗܘܝܬܓܝܪܡܬܕܟܪܘܡܝܬܐ,ܛܠܝܡܐܝܬ܂ܗܘܝܬܓܝܪܡܬܕܟܪܘܡܝܬܐ
ܘܐܝܬܐ,ܘܐܝܬܐ,,,
ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ,ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ,,ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ,ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ
ܣܪܚܕܘܡ,ܣܪܚܕܘܡ,,ܣܢܚܪܝܒ,ܣܢܚܪܝܒ
ܐܒܘܗܝ,ܐܒܘܗܝ,,ܐܒܘܗܝ,ܐܒܘܗܝ
ܕܗܢܐܡܠܟܐ܂ܘܦܩܕܢܝ,ܕܡܠܟܐ,,ܕܡܠܟܐ,ܕܡܠܟܐ
,ܗܢܐ܂,,ܗܢܐ܂,ܗܢܐ܇
,ܘܦܩܕ,,ܘܦܩܕ,ܘܦܩܕ
ܕܐܩܛܠܟ܂ܘܟܕ,ܕܐܩܛܠܟ܂ܘܟܕ,,ܕܐܩܛܠܟ܂ܘܟܕ,ܕܐܩܛܠܟ܂ܘܟܕ
,ܕܝܢ,,ܕܝܢ,ܕܝܢ
ܝܕܥܬܕܠܝܬ,ܝܕܥܬܕܠܝܬ,,ܝܕܥܬܕܠܝܬ,ܝܕܥܬܕܠܝܬ
ܠܟ,,,ܠܟ,ܠܟ
ܣܘܪܚܢܐ,ܣܘܪܚܢܐ,,ܣܘܪܚܢ܂,ܣܘܪܚܢ܇
ܛܫܝܬܟܘܠܐ,ܛܫܝܬܟܘܠܐ,,ܛܫܝܬܟܘܠܐ,ܛܫܝܬܟܘܠܐ
ܩܛܠܬܟ܂,ܩܛܠܬܟ,,ܩܛܠܬܟ܂,ܩܛܠܬܟ܂ܥܕܡܐ
ܥܕܡܐ,ܥܕܡܐ,,ܥܕܡܐ,
ܕܢܚ,ܕܫܠܝ,,ܕܫܠܝ,ܕܫܠܝ
ܪܘܓܙܗ,ܪܘܓܙܗ,,ܪܘܓܙܗ,ܪܘܓܙܗ
ܘܐܨܛܒܝܒܟ܂,ܕܡܠܟܐ,,ܕܡܠܟܐ,ܕܡܠܟܐ
,ܘܐܬ݁ܬܢܝܚܘܐܬܪܥܝܥܡܟ܂ܘܦܩܕܕܝܢ,,ܘܐܬܕܟܪ,ܘܐܬܕܟܪ
,,,ܛܒܬ̈ܟ܂,ܛܒ̈ܬܟ܂
ܘܦܩܕ,,,ܘܦܩܕ,ܘܦܩܕ
ܘܐܩܝܡܬܟܩܕܡܘܗܝ܂ܘܩܒܠܬܡܢܗ,ܘܛܝܒܬܟ,,ܘܛܝܒܬܟ,ܘܛܝܒܬܟ
,ܩܕܡܘܗܝ,,ܩܕܡ܏ܘ܆ܩܕܡܘܗܝ܆,ܩܕܡܘܗܝ܇
,ܘܐܛܐܒ,,ܘܐܛܐܒ,ܘܐܛܐܒ
,ܠܟ܂,,ܠܟ,ܠܟ
,ܘܝܗ̄ܒ,,ܘܝܗ̄ܒ,ܘܝܗ̄ܒ
,,,ܠܟ,ܠܟ
ܡܘܗ̈ܒܬܐ,ܡܘܗ̈ܒܬܐ,,ܡܘܗ̈ܒܬܐ,ܡܘܗ̱̈ܒܬܐܣܓܝܐܬܐ̈܂
ܪܘܪ̈ܒܬܐ܂ܐܦ,ܣܘܓܐܐ܂ܘܐܢ̄ܬ݁,,ܣ̈ܓܝܐܐ܂,
,,,ܘܐܦ,ܘܐܦ
ܐܢ̄ܬ,,,ܐܢ̄ܬ,ܐܢ̄ܬ
ܦܪܘܥܝܢܝܦܘܪܥܢܐܕܦܪܥܘܬܟ܂ܘܐܝܟ,ܬܘܒܗܫܐ,,ܬܘܒܗܫܐ,ܬܘܒܗܫܐ
,ܛܫܢܝ,,ܛܫܢܝ܂,ܛܫܢܝ܂
,ܘܦܪܘܥܝܢܝ,,ܘܦܪܘܥܝܢܝ,ܘܦܪܘܥܝܢܝ
,ܛܒܬܐܘܛܝܒܘܬܐܐܟܡܐܕܐܢܐܥܒܕܬ,,ܐܟܡܐ,ܐܟܡܐ
ܕܥܒܕܬ,,,ܕܥܒܕܬ,ܕܥܒܕܬ
ܥܒܕܥܡܝ܂ܘܛܫܢܝ,ܥܡܟ܂,,ܥܡܟ܂,ܥܡܟ܂
,ܛܫܢܝ,,,
ܒܕܘܟܬܐ,ܒܕܘܟܬܐ,,,
ܡܕܡ܂,ܚܕܐ܂ܗܐ,,,
ܘܗܐ,,,ܘܗܐ,ܘܗܐ
ܐܝܬܠܝܥܒܕܐ,ܐܝܬܠܝܥܒܕܐ,,ܐܝܬܠܝܥܒܕܐ,ܐܝܬܠܝܥܒܕܐ
ܫܘܐܠܡܘܬܐܕܐܣܟܠܒܣܓܝ̈ܐܬܐܘܗܐ,ܚܝܒܐ,,ܚܝܒܐ,ܚܝܒܐ
ܪܡܐ,ܪܡܐ,,ܪܡܐ,ܪܡܐ
ܒܝܬܐܣܝܪ̈ܐ܂,ܒܚܒܘܫܝܐ,,ܒܚܒܘܫܝܐ,ܒܚܒܘܫܝܐ
ܘܫܡܗ,ܘܫܡܗ,,ܘܫܡܗ,ܘܫܡܗ
ܡܕܝܦܪ܂,ܡܕܝܦܪ,,ܡܕܝܦܪ܂,ܡܕܝܦܪ܂
,ܘܚܝܒܠܩܛܠܐܡܛܠ,,ܘܚܝܒܠܩܛܠܐܡܛܠ,ܘܚܝܒܠܩܛܠܐܡܛܠ
,ܣܘܓܐܬܚܘܒܘ̈ܗܝ܂ܘܐܦܩܝܗܝܕܝܢܐܠܒܫܝܗܝ,,ܒܝܫ̈ܬܗ܂,ܒܝܫܬܗ̈܂
ܐܦܩܝܗܝ,,,ܐܦܩܝܗܝ,ܐܦܩܝܗܝ
ܘܐܠܒܫܝܗܝܠܒܘܫܝ܂ܘܦܩܘܕܠܐܝܠܝܢ,,,ܗܫܐܘܢܠܒܫ,ܗܫܐܘܢܠܒܫ
,ܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ,,ܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ,ܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ
,,,ܕܥܡܟ,ܕܥܡܟ
,ܗܠܝܢ,,ܗܠܝܢ,ܗܠܝܢ
ܕܥܡܟ,ܕܥܡܟ,,,
,,,ܪ̈ܘܝܐ܂,ܪ̈ܘܝܐ܂
ܕܢܬܛܝܒܘܢ,ܘܢܦܩܘܢܝܗܝܘܗܢܘܢܪ̈ܘܝܐ,,,
,ܘܢܩܛܠܘܢܝܗܝ,,ܘܢܩܛܠܘܢܝܗܝ,ܘܢܩܛܠܘܢܝܗܝ
ܟܕ,ܟܕ,,ܟܕ,ܟܕ
ܪܘܐܝܢ܂ܘܡܬܩܛܠܘܠܐ,ܠܐ,,ܠܐ,ܠܐ
ܝܕܥܝܢ,ܝܕܥܝܢ,,ܝܕܥܝܢ,ܝܕܥܝܢ
ܡ̇ܢܐܬܘܛܠ܂,ܠܡ̇ܢ,,ܠܡ̇ܢ,ܠܡ̇ܢ
,ܩܛܠܘ,,ܩܛܠܘ܂ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,ܩܛܠܘ܂ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ
ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗ,ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗ,,,ܐܡܝܢ܂
,ܐܝܟ,,,
ܡܐܐ,ܡܐܐ,,,
ܐܡ̈ܝܢ܂,ܐܡܝ̈ܢ܂,,ܐܡܝ̈ܢ܂,
ܘܗܒܦܓܪܗ,ܘܗܒܦܓܪܗ,,ܘܗܒܦܓܪܗܕܢܩܒܪܘܢܝܗܝ܂,ܘܗܒܦܓܪܗܕܢܩܒܪܘܢܝܗܝ܂
ܕܢܬܩܒܪ܂,ܕܢܩܒܪܘܢܝܗܝ,,,
ܘܢܦܘܩܛܒܐܒܐܬܘܪ,ܘܢܦܘܩܛܒܐܒܐܬܘܪ,,ܘܢܦܘܩܛܒܐܒܐܬܘܪ,ܘܢܦܘܩܛܒܐܒܐܬܘܪ
ܘܢܝܢܘܐ܂,ܘܢܝܢܘܐ,,ܘܢܝܢܘ̈ܐ,ܘܢܝܢܘܐ
ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ
ܩܡ,ܩܡ,,,
ܐܣܦܘܩܠܛܪܐ,ܐܣܦܘܩܠܛܪܐ,,ܐܣܦܘܩܠܛܪܐ,ܐܣܦܘܩܠܛܪܐ
ܘܥܡܗܐܢ̄ܬܬܝ,ܥܡܗ,,ܘܐܫܦܓܢܐ,ܘܐܫܦܓܢܐ
,ܒܪܬܙܘܓܝ,,ܒܪܬܙܘܓܝ,ܒܪܬܙܘܓܝ
ܘܥܒܕܘ,ܘܥܒܕܘ,,ܥܒܕܘ,ܥܒܕܘ
ܠܝ,ܠܝ,,ܠܝ,ܠܝ
,ܓܝܪ,,,
ܕܘܟܬܐ,ܕܘܟܬܐ,,ܕܘܟܬܐ,ܕܘܟܬܐ
ܡܛܫܝܬܐܬܚܝܬܐܪܥܐ܂ܒܝܬܐ,ܟܣܝܬܐ,,ܟܣܝܬܐ,ܟܣܝܬܐ
,ܬܚܘܬܐܪܥܐܘܚܦܪܘܠܝܐܪܛܪܝܘܢܕܐܘܪܟܗ̇ܐܪܒܥܥܣܪ̈ܐ,,ܬܚܝܬܐܪܥܐ,ܬܚܝܬܐܪܥܐ
ܕܐܘܪܟܗܐܪܒܥܣܪ̈ܐ,,,ܕܐܘܪܟܗܐܪܒܥܣܪ̈ܐ,ܕܐܘܪܟܗܐܪܒܥܣܪ̈ܐ
ܐܡܝ̈ܢ܂,,,ܐܡ̈ܝܢ܂,ܐܡ̈ܝܢ܂
,,,ܘܦܬܝܗ̇,
ܘܦܬܝܗ,,,,ܘܦܬܝܗ
ܐܡܝ̈ܢ,ܐܡܝ̈ܢ,,ܫܒܥ܂,ܫܒܥ܂
,ܘܦܬܝܗ,,,
ܫܒܥܐ܂ܬܚܝܬ,,,,
,,,ܘܗܝܬܚܝܬ,
ܐܣܟܘܦܬܐ,ܫܒܥܐܡܝ̈ܢ܂,,ܐܣܟܘܦܬܐ,
,ܘܗܝܬܚܝܬ,,,ܘܗܝܬܚܝܬ
ܕܒܝܬܝ܂,,,,
,ܐܣܦܘܟܬܐܕܬܕܥܐ܂,,,ܐܣܟܦܬܐ
,,,ܕܬܪܥܐ܂,ܕܬܪܥܐ܂
ܘܐܥܠܘܢܝ,ܘܐܥܠܘܢܝ,,ܘܐܥܠܘܢܝ,ܘܐܥܠܘܢܝ
ܠܬܡܢ,ܥܠܝܗ̇,,,
,ܘܛܫܝܘܢܝ,,ܘܛܫܝܘܢܝ,ܘܛܫܝܘܢܝ
,,,ܒܗ܂,ܒܗ܂
ܘܣܡܘ,ܘܣܡܘ,,ܘܣܡܘ,ܘܣܡܘ
ܠܝܠܚܡܐ,,,,
ܘܡ̈ܝܐ,,,,
ܠܘܬܝ,ܠܘܬܝ,,ܠܘܬܝ,ܠܘܬܝ
ܘܫܒܩܘܢܝܟܕ,ܠܚܡܐ,,ܠܚܡܐ,ܠܚܡܐ
,,,ܘܡ̈ܝܐ,
,ܘܡܝ̈ܐ܂,,,ܘܡܝ̈ܐ
,ܘܟܢܫܒܩܘܢܝ,,ܘܟܢܫܒܩܘܢܝ,ܘܟܢܫܒܩܘܢܝ
ܛܡܝܪ,ܛܡܝܪ,,,
ܐ̄ܢܐܬܚܝܬܐܪܥܐܘܢܦܩܘ܂ܘܥܒܕܡܕܡܕܡ̣ܢܠܥܠܐܡܝܪ܂,ܒܥܦܪܐܗܫܐ,,,
,ܘܐܙܠܘ,,ܘܐܙܠܘ,ܘܐܙܠܘ
,ܕܝܢܐܘܒܠܘܛܒܐ,,ܐܘܕܥܘܠܡܠܟܐ܂,ܐܘܕܥܘܠܡܠܟܐ܂
ܘܐܘܕܥܘܠܡܠܟܐ,ܘܐܘܕܥܘܠܡܠܟܐ,,,
ܕܐܬܩܛܠܐܚܝܩܪܐܝܟ,ܕܐܬܩܛܠܐܚܝܩܪܐܝܟ,,ܕܐܬܩܛܠܐܚܝܩܪܐܝܟ,ܕܐܬܩܛܠܐܚܝܩܪܐܝܟ
ܦܘܩܕܢܟ܂,ܦܪܝܣܛܓܡܐܕܝܠܟ܂,,ܦܘܩܕܢܟ܂,ܦܘܩܕܢܟ܂
