433,Sachau 336
ܐܡܪܠܗܡܪܗܐܘܕܘܝܐܒܐܒܟܕܝܠܟܠܐܐܟܫܪܬ܂ܒܕܠܐܕܝܠܟ,ܐܡܪܠܗܡܪܗܐܘܕܘܝܐܒܐܒܟܕܝܠܟܠܐܐܟܫܪܬ܂ܒܕܠܐܕܝܠܟ
ܬܟܫܪ܂,ܬܟܫܪ܀
ܒܪܝܛܒܐܣܝܒܘܬܗܕܢܫܪܐܡܢܥܠܝܡܘܬܗ,ܒܪܝܛܒܐܣܝܒܘܬܗܕܢܫܪܐܡܢܥܠܝܡܘܬܗ
ܕܟܘܕܪܐ܂,ܕܟܘܕܪܐ܀
ܒܪܝܐܡܪܝܢ,ܒܪܝܐܡܪܝܢ
,ܐܡܪܝܢ
ܠܗ,ܠܗ
ܠܕܐܒܐ܂,ܠܕܐܒܐ
ܐܪܚܩܡܢ,ܐܪܚܩܡܢ
ܥܢ̈ܐ,ܥܢ̈ܐ܂
ܐܡܪܚܠܐܛܒܐܠܥܝܢܝ̈܂ܐܡܪܝܢܠܗܝܠܦܕܬܐܡܪܐܠܦܒܝܬ܂ܐܡܪ,ܐܡܪܚܠܐܛܒܐܠܥܝܢܝ̈܂ܐܡܪܝܢܠܗܝܠܦܕܬܐܡܪܐܠܦܒܝܬ܂ܐܡܪ
ܗ̄ܘܐ,ܗَܘܐ܂
ܐܡܪܐ,ܐܡܪܐ
ܓܕܝܐ܂ܒܪܝܠܪܫܗܕܚܡܪ̈ܐ,ܓܕܝܐ܀ܒܪܝܠܝܫܗܕܚܡܪܐ
ܣܡܘܗܝܥܠܦܬܘܪܐܘܐܬܥܪܓܠ,ܣܡܘܗܝܥܠܦܬܘܪܐܘܐܬܥܪܓܠ
ܘܢܦܠ,ܢܦܠ
ܥܠ,ܥܠ
ܥܦܪܐ܂,ܐܪܥܐ܂
