162,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 7200,Ar 7/229,Manuscrit 4122,Or. 2313,Sachau 162,Sachau 162,Sado no. 9,Syr 80
,,,,ܡܢ,,,ܡܢ,ܡܢ
,,,,ܒܝܬܗ,,,ܒܝܬܗ܂,ܒܝܬܗ܂
,,,,ܘܫܡܥܐܚܝܩܪ,,,ܘܫܡܥܐܚܝܩܪ,ܘܫܡܥܐܚܝܩܪ
,,,,ܡܠܘ̈ܗܝ,,,ܡܠܘܗܝ̈ܕܢܕܢ,ܡܠܘ̈ܗܝ
,,,,ܕܢܕܢ܆,,,,ܕܢܕܢ܂
,,,,ܗܝܕܝܢܐܬܚܫܒ,,,ܗܝܕܝܢܐܬܚܫܒ,ܗܝܕܝܢܐܬܚܫܒ
,,,,ܘܦܢܝܗَܘܐ܂,,,ܦܢܝ,ܦܢܝ
,,,,,,,ܗ̄ܘܐ,ܗܘܐ
,,,,ܐܚܝܩܪ,,,ܐܚܝܩܪ,ܐܚܝܩܪ
,,,,,,,ܠܢܕܢ܂,ܠܢܕܢ܂
,,,,ܘܗܟܢܐܡܪ,,,ܗܟܢܐܐܡܪܠܗ,ܘܗܟܢܐܡܪ
,,,,ܠܗ܆,,,,ܠܗ܂
,,,,ܚܒܠܝܗ,,,ܚܒܠܝܗ,ܚܒܠܝܗ
,,,,ܠܚܟܡܬܝ,,,ܠܚܟܡܬܝ܂܂,ܠܚܟ̱ܡܬܝ
,,,,ܒܪܝ,,,ܒܪܝ,ܒܪܝ
,,,,,,,,܇
,,,,ܐܝܟܢ,,,ܐܝܟܢ,ܐܝܟܢ
,,,,ܦܪܗܬܠܘܬܟ܆,,,ܦܟܗܬܠܘܬܟ܂,ܦܟܗܬܠܘܬܟ܂
,,,,ܘܟܕܗܠܝܢ,,,ܘܥܕ,ܘܟܕܗܠܝܢ
,,,,ܫܡܥܒܪܝ,,,ܫܡܥܒܪܝ,ܫܡܥܒܪܝ
,,,,ܣܓܝ܆,,,ܣܓܝ,ܣܓܝ
,,,,,,,ܪܓܝ,ܪܓܙ܂
,,,,ܘܒܝܫܬܐ,,,ܘܒܝܫܬܐ,ܘܒܝܫܬܐ
,,,,ܕܒܠܒܗ,,,ܒܠܒܗ,ܕܒܠܒܗ
,,,,ܥܬܕ,,,ܥܬܕ,ܥܬܕ
,,,,ܥܠܝ܆,,,ܥܠ,ܥܠܝ܂
,,,,ܘܐܙܠܠܗܠܬܪܥ,,,ܘܐܙܠܠܗܠܬܪܥ,ܘܐܙܠܠܗܠܬܪܥ
,,,,ܡܠܟܐ܆,,,ܡܠܟܐ,ܡܠܟܐ
,,,,,,,,܂
,,,,ܕܗܝܒܝܫܬܐ,,,ܕܗܝܒܝܫܬܐ,ܕܗܝܒܝܫܬܐ
,,,,ܕܒܠܒܗ,,,ܕܒܠܒܗ,ܕܒܠܫܗ
,,,,ܠܥܒܕܐ,,,ܠܥܒܕܐ,ܠܥܒܕܐ
,,,,ܢܝܬܝܗ܆,,,ܢܝܬܝܗ,ܢܝܬܝܗ܂
,,,,ܘܟܕܟܬܒܒܐܚܝܩܪ,,,ܘܟܕܟܬܒܒܐܚܝܩܪ,ܘܟܕܟܬܒܒܐܚܝܩܪ
,,,,ܐܓܪ̈ܬܐ,,,ܐܓܪܬܐܕܒܝܫܬܐ,ܐܓܪ̈ܬܐ
,,,,ܕܒܝ̈ܫܬܐ܆,,,,ܕܒܝܫܬܐ܆
,,,,ܘܠܬܪܥܡܠܟܐܐܬܐܕܢܚܘܐ,,,ܘܠܬܪܥܡܠܟܐܐܬܐܕܢܚܘܐ,ܘܠܬܪܥܡܠܟܐܐܬܐܕܢܚܘܐ
,,,,ܐܢܝܢ܆,,,ܐܢܝܢ,ܐܢܝܢ܂
,,,,ܘܟܬܒ,,,,ܘܟܬܒ
,,,,ܐܓܪ̈ܬܐܬܪ̈ܬܝܢ,,,ܐܓܪ̈ܬܐܬܪ̈ܬܝܢ,ܐܓܪ̈ܬܐܬܪ̈ܬܝܢ
,,,,ܠܡܠܟ̈ܐ,,,ܒܫܡܝܠܡܠܟܐܒܥܠܕܒܒܘܗ̈ܝܕܣܢܚܪܒܡܠܟܐ,ܠܡܠܟ̈ܐ
